Keyword,Title,Published Date,Url,Abstract
oncology,EZH2 inhibitors promote β-like cell regeneration in young and adult type 1 diabetes donors,2024-01-01,https://www.nature.com/articles/s41392-023-01707-x,"β-cells are a type of endocrine cell found in pancreatic islets that synthesize, store and release insulin. In type 1 diabetes (T1D), T-cells of the immune system selectively destroy the insulin-producing β-cells. Destruction of these cells leads to a lifelong dependence on exogenous insulin administration for survival. Consequently, there is an urgent need to identify novel therapies that stimulate β-cell growth and induce β-cell function. We and others have shown that pancreatic ductal progenitor cells are a promising source for regenerating β-cells for T1D owing to their inherent differentiation capacity. Default transcriptional suppression is refractory to exocrine reaction and tightly controls the regenerative potential by the EZH2 methyltransferase. In the present study, we show that transient stimulation of exocrine cells, derived from juvenile and adult T1D donors to the FDA-approved EZH2 inhibitors GSK126 and Tazemetostat (Taz) influence a phenotypic shift towards a β-like cell identity. The transition from repressed to permissive chromatin states are dependent on bivalent H3K27me3 and H3K4me3 chromatin modification. Targeting EZH2 is fundamental to β-cell regenerative potential. Reprogrammed pancreatic ductal cells exhibit insulin production and secretion in response to a physiological glucose challenge ex vivo. These pre-clinical studies underscore the potential of small molecule inhibitors as novel modulators of ductal progenitor differentiation and a promising new approach for the restoration of β-like cell function."
oncology,A dataset of digital holograms of normal and thalassemic cells,2024-01-02,https://www.nature.com/articles/s41597-023-02818-4,"Digital holographic microscopy (DHM) is an intriguing medical diagnostic tool due to its label-free and quantitative nature, providing high-contrast images of phase samples. By capturing both intensity and phase information, DHM enables the numerical reconstruction of quantitative phase images. However, the lateral resolution is limited by the diffraction limit, which prompted the recent suggestion of microsphere-assisted DHM to enhance the DHM resolution straightforwardly. The use of such a technique as a medical diagnostic tool requires testing and validation of the proposed assays to prove their feasibility and viability. This paper publishes 760 and 609 microsphere-assisted DHM images of normal and thalassemic red blood cells obtained from a normal and thalassemic male individual, respectively."
oncology,Acanthopanax senticosus ameliorates steatohepatitis through HNF4 alpha pathway activation in mice,2024-01-02,https://www.nature.com/articles/s41598-023-50625-z,"Non-alcoholic fatty liver disease is a common liver disease worldwide, and is associated with dysregulation of lipid metabolism, leading to inflammation and fibrosis. Acanthopanax senticosus Harms (ASH) is widely used in traditional medicine as an adaptogen food. We examined the effect of ASH on steatohepatitis using a high-fat diet mouse model. Mice were fed a choline-deficient, l-amino acid-defined, high-fat diet with ASH extract (ASHE). After 6 weeks, liver RNA transcriptome sequencing (RNA-Seq) was performed, followed by Ingenuity Pathway Analysis (IPA). Our findings revealed that mice fed a high-fat diet with 5% ASHE exhibited significantly reduced liver steatosis. These mice also demonstrated alleviated inflammation and reduced fibrosis in the liver. IPA of RNA-Seq indicated that hepatocyte nuclear factor 4 alpha (HNF4 alpha), a transcription factor, was the activated upstream regulator (P-value 0.00155, z score = 2.413) in the liver of ASHE-fed mice. Adenosine triphosphate binding cassette transporter 8 and carboxylesterase 2, downstream targets of HNF4 alpha pathway, were upregulated. Finally, ASHE-treated HepG2 cells exposed to palmitate exhibited significantly decreased lipid droplet contents. Our study provides that ASHE can activate HNF4 alpha pathway and promote fat secretion from hepatocytes, thereby serving as a prophylactic treatment for steatohepatitis in mice."
oncology,Alterations in mitochondria isolated from peripheral blood mononuclear cells and tumors of patients with epithelial ovarian cancers,2024-01-02,https://www.nature.com/articles/s41598-023-51009-z,"Metabolic alterations play an essential role in ovarian carcinogenesis. The flexibility of mitochondrial functions facilitates cellular adaptation to the tough environment associated with carcinogenesis. An understanding of the differences in mitochondrial functions in normal ovaries and cancers could provide a basis for further exploration of future mitochondria-based screening, diagnosis, prognostic prediction, and targeted therapy for epithelial ovarian cancers. The main objective of this study was to assess mitochondrial function profiles measured from PBMCs and ovarian tissues of epithelial ovarian cancers in comparison with normal ovaries. A total of 36 patients were recruited for the study, all of whom underwent primary surgical treatment for malignant epithelial ovarian neoplasm. Of these, 20 patients were in the early stage and 16 patients were in the advanced stage. Additionally, 21 patients who had pelvic surgery for benign gynecologic conditions, with normal ovaries incidentally removed, were recruited as controls. At the time of surgery, a blood sample was collected from each participant for PBMC isolation, and ovarian tissue was retained for molecular studies. These studies included the examination of oxidative stress, mitochondrial mass, mitochondrial respiration, mitochondrial reactive oxygen species (ROS), mitochondrial membrane potential (MMP) changes, and mitochondrial swelling. Clinical and histopathological data were also collected and compared between different stages of epithelial ovarian cancers: early-stage (group 1), advanced-stage (group 2), and normal ovaries (group 3). The levels of cellular oxidative stress, mitochondrial mass, and mitochondrial biogenesis in the peripheral blood mononuclear cells (PBMCs) of participants with ovarian cancer were significantly lower than those of the control group. However, the mitochondrial respiratory parameters measured from the PBMCs were similar across all three groups. Furthermore, mitochondrial membrane depolarization and mitochondrial swelling were observed in ovarian tissues of both early-stage and advanced-stage cancer groups. We demonstrated the dynamic nature of mitochondrial ROS production, biogenesis, and respiratory function in response to epithelial ovarian carcinogenesis. The flexibility of mitochondrial functions under diverse conditions may make it a challenging therapeutic target for ovarian cancer."
oncology,Assessment of lower limb muscle strength can predict fall risk in patients with chronic liver disease,2024-01-02,https://www.nature.com/articles/s41598-023-50574-7,"Falls are caused by a combination of factors, including loss of lower limb muscle strength (LMS), and associated with declined performance status (PS). Age-related sarcopenia is generally associated with decreased muscle mass and strength of lower limb muscle but without a noticeable loss of those of upper limb or trunk muscle. However, no reports have focused on falls or LMS in chronic liver disease (CLD) patients. This study is the first to analyze the risk factors for falls in patients with CLD, focusing on LMS measurement using the Locomoscan. This study enrolled 315 CLD patients whose LMS was measured. The patients who experienced falls more than 1 year ago or during the observation period were classified as those who experienced falls. We found that risk factors for falls were PS1/2 and decreased LMS (< 0.32 N/kg). The group with sarcopenia had a higher frequency of decreased LMS (54 vs. 26%, p = 0.001) and falls (24 vs. 4.4%, p < 0.001) compared to the non-sarcopenia group. This study found that decreased LMS was an independent risk factor for falls. Assessment of LMS may be used as a better marker associated with the risk of falls in patients with CLD."
oncology,Avapritinib-based SAR studies unveil a binding pocket in KIT and PDGFRA,2024-01-02,https://www.nature.com/articles/s41467-023-44376-8,"Avapritinib is the only potent and selective inhibitor approved for the treatment of D842V-mutant gastrointestinal stromal tumors (GIST), the most common primary mutation of the platelet-derived growth factor receptor α (PDGFRA). The approval was based on the NAVIGATOR trial, which revealed overall response rates of more than 90%. Despite this transformational activity, patients eventually progress, mostly due to acquired resistance mutations or following discontinuation due to neuro-cognitive side effects. These patients have no therapeutic alternative and face a dismal prognosis. Notable, little is known about this drug’s binding mode and its medicinal chemistry development, which is instrumental for the development of the next generation of drugs. Against this background, we solve the crystal structures of avapritinib in complex with wild-type and mutant PDGFRA and stem cell factor receptor (KIT), which provide evidence and understanding of inhibitor binding and lead to the identification of a sub-pocket (Gα-pocket). We utilize this information to design, synthesize and characterize avapritinib derivatives for the determination of key pharmacophoric features to overcome drug resistance and limit potential blood-brain barrier penetration."
oncology,Bipolar androgen therapy plus nivolumab for patients with metastatic castration-resistant prostate cancer: the COMBAT phase II trial,2024-01-02,https://www.nature.com/articles/s41467-023-44514-2,"Cyclic high-dose testosterone administration, known as bipolar androgen therapy (BAT), is a treatment strategy for patients with metastatic castration-resistant prostate cancer (mCRPC). Here, we report the results of a multicenter, single arm Phase 2 study (NCT03554317) enrolling 45 patients with heavily pretreated mCRPC who received BAT (testosterone cypionate, 400 mg intramuscularly every 28 days) with the addition of nivolumab (480 mg intravenously every 28 days) following three cycles of BAT monotherapy. The primary endpoint of a confirmed PSA50 response rate was met and estimated at 40% (N = 18/45, 95% CI: 25.7–55.7%, P = 0.02 one-sided against the 25% null hypothesis). Sixteen of the PSA50 responses were achieved before the addition of nivolumab. Secondary endpoints included objective response rate (ORR), median PSA progression-free survival, radiographic progression-free survival (rPFS), overall survival (OS), and safety/tolerability. The ORR was 24% (N = 10/42). Three of the objective responses occurred following the addition of nivolumab. After a median follow-up of 17.9 months, the median rPFS was 5.6 (95% CI: 5.4–6.8) months, and median OS was 24.4 (95% CI: 17.6–31.1) months. BAT/nivolumab was well tolerated, resulting in only five (11%) drug related, grade-3 adverse events. In a predefined exploratory analysis, clinical response rates correlated with increased baseline levels of intratumoral PD-1 + T cells. In paired metastatic tumor biopsies, BAT induced pro-inflammatory gene expression changes that were restricted to patients achieving a clinical response. These data suggest that BAT may augment antitumor immune responses that are further potentiated by immune checkpoint blockade."
oncology,Cell cycle arrest induces lipid droplet formation and confers ferroptosis resistance,2024-01-02,https://www.nature.com/articles/s41467-023-44412-7,"How cells coordinate cell cycling with cell survival and death remains incompletely understood. Here, we show that cell cycle arrest has a potent suppressive effect on ferroptosis, a form of regulated cell death induced by overwhelming lipid peroxidation at cellular membranes. Mechanistically, cell cycle arrest induces diacylglycerol acyltransferase (DGAT)–dependent lipid droplet formation to sequester excessive polyunsaturated fatty acids (PUFAs) that accumulate in arrested cells in triacylglycerols (TAGs), resulting in ferroptosis suppression. Consequently, DGAT inhibition orchestrates a reshuffling of PUFAs from TAGs to phospholipids and re-sensitizes arrested cells to ferroptosis. We show that some slow-cycling antimitotic drug–resistant cancer cells, such as 5-fluorouracil–resistant cells, have accumulation of lipid droplets and that combined treatment with ferroptosis inducers and DGAT inhibitors effectively suppresses the growth of 5-fluorouracil–resistant tumors by inducing ferroptosis. Together, these results reveal a role for cell cycle arrest in driving ferroptosis resistance and suggest a ferroptosis-inducing therapeutic strategy to target slow-cycling therapy-resistant cancers."
oncology,Disulfidptosis-related prognostic signature correlates with immunotherapy response in colorectal cancer,2024-01-02,https://www.nature.com/articles/s41598-023-49954-w,"Disulfidptosis (DSP), a form of cell death caused by disulphide stress, plays an important role in tumour progression. However, the mechanisms by which DSP regulates the tumour microenvironment remain unclear. Thus, we analysed the transcriptome profiles and clinical data, which were obtained from the TCGA database, of 540 patients with colorectal cancer. Compared with the patients with low DSP expression, those with high DSP expression exhibited significantly better survival outcomes; lower stromal and ESTIMATE scores; significantly higher numbers of CD4+ T cells, M2 macrophages, dendritic cells, and neutrophils; higher expression of immune checkpoint-related genes; and lower Tregs and HLA-DQB2 levels. A prognostic signature established based on DSP-related genes demonstrated an increase in risk score with a higher clinical stage. Risk scores negatively correlated with dendritic cells, eosinophils, and CD4+ T cells and significantly positively correlated with Treg cells. Patients with higher risk scores experienced significantly worse survival outcomes and immunotherapy non-response. Our nomogram model, combining clinicopathological features and risk scores, exhibited robust prognostic and predictive power. In conclusion, DSP-related genes actively participated in regulating the tumour microenvironment. Thus, they can serve as biomarkers to provide targeted treatment for colorectal cancer."
oncology,ER+/PR− phenotype exhibits more aggressive biological features and worse outcome compared with ER+/PR+ phenotype in HER2-negative inflammatory breast cancer,2024-01-02,https://www.nature.com/articles/s41598-023-50755-4,"The loss of progesterone receptor (PR) often predicts worse biological behavior and prognosis in estrogen receptor-positive (ER +) breast cancer. However, the impact of PR status on inflammatory breast cancer (IBC) has not been studied. Therefore, the purpose of our study was to investigate the influence of PR on IBC. Patients with ER+ and HER2-negative IBC were selected from the Surveillance, Epidemiology and End Results database. Pearson’s χ2 test was used to compare the clinicopathological characteristics between patients with estrogen receptor-positive/progesterone receptor-positive (ER+/PR +) and patients with estrogen receptor-positive/progesterone receptor-negative (ER+/PR−). Univariate and multivariate analyses were performed to investigate the effects of PR status on the breast cancer-specific survival (BCSS) and overall survival (OS) in IBC. Overall, 1553 patients including 1157 (74.5%) patients with ER+/PR+ and 396 (25.5%) patients with ER+/PR− were analyzed in our study. The patients with ER+/PR− were more likely to be high histological grade (p < 0.001) and liver metastasis (p = 0.045) compared to patients with ER+/PR+. Despite higher chance of receiving chemotherapy (83.6% vs 77.3%, P = 0.008), patients with ER+/PR− showed worse BCSS (5-year BCSS rate, 34.3% vs 51.3%, P < 0.001) and OS (5-year OS rate, 31.3% vs 46.1%, P < 0.001) compared with ER+/PR+ phenotype. Multivariate survival analysis showed that patients with ER+/PR− still had worse BCSS (hazard ratios [HR]: 1.764, 95% confidence intervals [CI] 1.476–2.109, P < 0.001) and OS (HR: 1.675, 95% CI 1.411–1.975, P < 0.001) than ER+/PR+ phenotype. Furthermore, patients with ER+/PR− showed worse outcomes than ER+/PR+ phenotype in most subgroups, especially in patients with younger age (≤ 60 years), lower histological grade, lymph node involved and distant metastasis. Patients with ER+/PR− had more aggressive biological behaviors and worse outcomes than patients with ER+/PR+ in IBC. Stronger treatments maybe needed for IBC patients with ER+/PR−."
